"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity"
"H5","ARG","283691","Argentina","WLD"," World",2020,"Export",6,56078.226,14134400
"H5","ARG","283691","Argentina","WLD"," World",2023,"Export",6,441300.292,29496590
"H5","BOL","283691","Bolivia","WLD"," World",2017,"Export",6,491.791,45010
"H5","BOL","283691","Bolivia","WLD"," World",2018,"Export",6,561.14,30000
"H5","BOL","283691","Bolivia","WLD"," World",2021,"Export",6,9939.7,1009000
"H5","BOL","283691","Bolivia","WLD"," World",2022,"Export",6,37835.417,630003
"H5","BOL","283691","Bolivia","WLD"," World",2023,"Export",6,14649.929,320225
"H5","CHL","282520","Chile","WLD"," World",2017,"Export",6,99171.292,6203148
"H5","CHL","282520","Chile","WLD"," World",2018,"Export",6,95931.548,5687416
"H5","CHL","282520","Chile","WLD"," World",2019,"Export",6,119135.276,8582770
"H5","CHL","282520","Chile","WLD"," World",2020,"Export",6,56471.403,9329784.01
"H5","CHL","282520","Chile","WLD"," World",2021,"Export",6,95647.936,11264319
"H5","CHL","282520","Chile","WLD"," World",2022,"Export",6,585228.73,15213149
"H5","CHL","282520","Chile","WLD"," World",2023,"Export",6,833390.35,23016467.6
"H5","CHL","283691","Chile","WLD"," World",2017,"Export",6,694312.634,65275683
"H5","CHL","283691","Chile","WLD"," World",2018,"Export",6,952427.129,71830938
"H5","CHL","283691","Chile","WLD"," World",2019,"Export",6,767330.462,82344066.4
"H5","CHL","283691","Chile","WLD"," World",2020,"Export",6,617530.178,97696837.4
"H5","CHL","283691","Chile","WLD"," World",2021,"Export",6,885203.178,134060077
"H5","CHL","283691","Chile","WLD"," World",2022,"Export",6,8258836.779,198631380
"H5","CHL","283691","Chile","WLD"," World",2023,"Export",6,4240538.591,188519852
